
./parallel_primes 1 t 1;0.000010;0.000009;0.000032;0.000012;0.000013;0.000009;0.000008;0.000010;0.000012;0.000010
./parallel_primes 1 t 2;0.000069;0.000059;0.000065;0.000068;0.000074;0.000085;0.000128;0.000066;0.000062;0.000067
./parallel_primes 1 t 3;0.000084;0.000164;0.000341;0.000095;0.000088;0.000091;0.000089;0.000093;0.000076;0.000087
./parallel_primes 1 t 4;0.008385;0.007794;0.000108;0.000106;0.000105;0.000109;0.000111;0.000121;0.000120;0.000124
./parallel_primes 1 t 5;0.000606;0.000285;0.000305;0.000287;0.000299;0.000327;0.000298;0.000297;0.000293;0.000322
./parallel_primes 1 t 6;0.000456;0.000397;0.000391;0.000396;0.000399;0.000334;0.000392;0.000380;0.000375;0.000393
./parallel_primes 1 t 7;0.000359;0.000448;0.000423;0.000447;0.000411;0.000418;0.000441;0.000429;0.000425;0.000444
./parallel_primes 1 t 8;0.000639;0.000577;0.000575;0.000691;0.000439;0.000402;0.000425;0.000398;0.000410;0.000377
./parallel_primes 1 t 9;0.000493;0.000460;0.000494;0.000404;0.000482;0.000436;0.000509;0.000500;0.000479;0.000459
./parallel_primes 1 t 10;0.000546;0.000631;0.000556;0.000593;0.000618;0.000599;0.000513;0.000722;0.000597;0.001158
./parallel_primes 10 t 1;0.000011;0.000010;0.000026;0.000010;0.000010;0.000009;0.000011;0.000010;0.000010;0.000009
./parallel_primes 10 t 2;0.000072;0.000072;0.000069;0.000068;0.000069;0.000069;0.000065;0.000065;0.000063;0.000130
./parallel_primes 10 t 3;0.000096;0.000098;0.000081;0.000089;0.000094;0.000098;0.000095;0.000097;0.000210;0.000093
./parallel_primes 10 t 4;0.000117;0.000122;0.000120;0.000151;0.000123;0.000118;0.000113;0.000119;0.000112;0.000145
./parallel_primes 10 t 5;0.000566;0.000380;0.000345;0.000321;0.000324;0.000325;0.000271;0.000358;0.000326;0.000290
./parallel_primes 10 t 6;0.000351;0.000340;0.000375;0.000373;0.000357;0.000382;0.000390;0.000356;0.000388;0.000386
./parallel_primes 10 t 7;0.000439;0.000432;0.000446;0.000424;0.000444;0.000442;0.000666;0.000732;0.000465;0.000411
./parallel_primes 10 t 8;0.000450;0.000440;0.000480;0.000490;0.000462;0.000436;0.000523;0.000430;0.000453;0.000560
./parallel_primes 10 t 9;0.000470;0.000418;0.000493;0.000862;0.000689;0.000557;0.000552;0.000564;0.000535;0.000516
./parallel_primes 10 t 10;0.000492;0.000487;0.000527;0.000526;0.000567;0.000594;0.000556;0.000559;0.000626;0.000588
./parallel_primes 100 t 1;0.000011;0.000013;0.000013;0.000015;0.000013;0.000013;0.000012;0.000015;0.000012;0.000015
./parallel_primes 100 t 2;0.000074;0.000074;0.000075;0.000073;0.000093;0.000094;0.000097;0.000059;0.000073;0.000073
./parallel_primes 100 t 3;0.000099;0.000102;0.000100;0.000099;0.000100;0.000097;0.000096;0.000094;0.000133;0.000102
./parallel_primes 100 t 4;0.000141;0.000129;0.000127;0.000119;0.000122;0.000249;0.000143;0.000112;0.000272;0.000120
./parallel_primes 100 t 5;0.000276;0.000315;0.000329;0.000323;0.000340;0.000448;0.000356;0.000296;0.000313;0.000347
./parallel_primes 100 t 6;0.000403;0.000340;0.000412;0.000382;0.000396;0.000363;0.000359;0.000351;0.000387;0.000402
./parallel_primes 100 t 7;0.000453;0.000420;0.000472;0.000423;0.000440;0.000452;0.000436;0.000444;0.000501;0.000476
./parallel_primes 100 t 8;0.000513;0.000509;0.000478;0.000498;0.000534;0.000476;0.000488;0.000491;0.000463;0.000474
./parallel_primes 100 t 9;0.000494;0.000463;0.000548;0.000648;0.000640;0.000512;0.000568;0.000554;0.000568;0.000575
./parallel_primes 100 t 10;0.000599;0.000589;0.000578;0.000616;0.000634;0.000565;0.000619;0.000591;0.000601;0.000591
./parallel_primes 1000 t 1;0.000036;0.000036;0.000038;0.000036;0.000036;0.000036;0.000038;0.000035;0.000038;0.000035
./parallel_primes 1000 t 2;0.000114;0.000098;0.000091;0.000090;0.000093;0.000179;0.000091;0.000092;0.000148;0.000096
./parallel_primes 1000 t 3;0.000117;0.000096;0.000113;0.000109;0.000108;0.000105;0.000110;0.000105;0.000116;0.000115
